variavel,mean_baseline,mean_off,delta_off_minus_baseline
tau_densa,-0.16037324884550766,-0.012215172936107348,0.1481580759094003
tau_diluida,-0.7868252541393435,0.01278242297956834,0.7996076771189118
tau_backpass,-0.5268523471423525,0.008531402910478068,0.5353837500528306
tau_global,-0.49135028337573455,0.003032884317979654,0.4943831676937142
coal_flow_furnace_t_h,65.86998936170214,72.07583654594174,6.205847184239602
air_total_nm3_h,821031.4946808511,823036.878242965,2005.383562113857
air_primary_nm3_h,763799.75,665025.3646509213,-98774.38534907869
air_secondary_nm3_h,57231.744680851065,251380.52161976663,194148.77693891557
air_primary_share_pct,93.03817771616515,69.7101356543496,-23.32804206181555
o2_excess_pct,449.08730319148935,273.6202602230483,-175.46704296844104
