ini_idx,fim_idx,n,ini_ts,fim_ts
763,1462,700,2023-06-03 12:00:00,2023-07-03 19:00:00
1464,1831,368,2023-07-04 05:00:00,2023-07-19 12:00:00
2521,2701,181,2023-08-17 14:00:00,2023-08-25 02:00:00
3151,3368,218,2023-10-14 17:00:00,2023-10-23 18:00:00
3589,3822,234,2023-11-01 23:00:00,2023-11-11 18:00:00
4050,4308,259,2023-11-21 17:00:00,2023-12-02 17:00:00
5388,5775,388,2024-01-31 22:00:00,2024-02-17 01:00:00
6121,6374,254,2024-03-02 17:00:00,2024-03-13 06:00:00
6529,6820,292,2024-03-19 17:00:00,2024-03-31 20:00:00
7000,7408,409,2024-05-06 14:00:00,2024-05-23 14:00:00
7495,7788,294,2024-05-27 05:00:00,2024-06-08 11:00:00
8167,8340,174,2024-06-28 20:00:00,2024-07-07 01:00:00
9760,10037,278,2024-10-03 23:00:00,2024-10-15 13:00:00
10905,11389,485,2024-11-20 23:00:00,2024-12-11 09:00:00
11392,11654,263,2024-12-11 21:00:00,2024-12-22 19:00:00
