variavel;variavel_normalizada;grupo_fisico;exemplo_valor;nulos
furnace_bed_temp_10_12_sel_adegc;furnace_bed_temp_10_12_sel_adegc;bed;760133;0
furnace_bed_temp_13_15_sel_adegc;furnace_bed_temp_13_15_sel_adegc;bed;753804;0
furnace_bed_temp_16_18_sel_adegc;furnace_bed_temp_16_18_sel_adegc;bed;780632;0
furnace_bed_temp_1_3_sel_adegc;furnace_bed_temp_1_3_sel_adegc;bed;732287;0
furnace_bed_temp_4_6_sel_adegc;furnace_bed_temp_4_6_sel_adegc;bed;737218;0
furnace_bed_temp_7_9_sel_adegc;furnace_bed_temp_7_9_sel_adegc;bed;763715;0
bed_temperature_average_adegc;bed_temperature_average_adegc;others;761795;2723
esp_comb_with_ff_b_outl_temp_adegc;esp_comb_with_ff_b_outl_temp_adegc;others;101267;1
fsh_outl_hdr_temp_adegc_min;fsh_outl_hdr_temp_adegc_min;others;-358;0
hi_te_rh_ol_temp_adegc_min;hi_te_rh_ol_temp_adegc_min;others;-358;0
hi_temperture_reheol_pres_mpa_mi;hi_temperture_reheol_pres_mpa_mi;others;6;0
hot_reheat_steam_temperature_1_adegc;hot_reheat_steam_temperature_1_adegc;others;533551;1
lms_pdr_bin_flud_air_htr_ol_te_adegc;lms_pdr_bin_flud_air_htr_ol_te_adegc;others;120534;384
miain_steam_temperature_adegc;miain_steam_temperature_adegc;others;53491;0
t_bfbp_b_inlet_temperature_adegc;t_bfbp_b_inlet_temperature_adegc;others;138081;0
te_no_6_hp_heater_ol_feed_wtr_adegc;te_no_6_hp_heater_ol_feed_wtr_adegc;others;199418;0
te_no_7_hp_heater_ol_feed_wtr_adegc;te_no_7_hp_heater_ol_feed_wtr_adegc;others;224322;1
te_no_8_hp_heater_ol_feed_wtr_adegc;te_no_8_hp_heater_ol_feed_wtr_adegc;others;249275;1
te_of_gas_in_ecmz_side_a_outl_adegc;te_of_gas_in_ecmz_side_a_outl_adegc;others;296104;1
te_of_gas_in_ecmz_side_b_outl_adegc;te_of_gas_in_ecmz_side_b_outl_adegc;others;300422;0
te_of_hot_pri_air_in_aph_outl_adegc;te_of_hot_pri_air_in_aph_outl_adegc;others;261133;0
te_of_hpfa_fan_outl_head_pipe_adegc;te_of_hpfa_fan_outl_head_pipe_adegc;others;94024;0
temp_1_of_furnace_a_inner_adegc;temp_1_of_furnace_a_inner_adegc;others;716825;0
temp_1_of_furnace_b_inner_adegc;temp_1_of_furnace_b_inner_adegc;others;737087;1
temp_3_of_furnace_a_inner_adegc;temp_3_of_furnace_a_inner_adegc;others;727898;0
temp_3_of_furnace_b_inner_adegc;temp_3_of_furnace_b_inner_adegc;others;742728;0
temp_of_3_lph_outl_wtr_adegc;temp_of_3_lph_outl_wtr_adegc;others;71031;0
temp_of_4_lph_outl_wtr_adegc;temp_of_4_lph_outl_wtr_adegc;others;69993;0
temp_of_cnd_pump_outl_header_adegc;temp_of_cnd_pump_outl_header_adegc;others;45459;0
temp_of_cnd_water_of_dea_inl_adegc;temp_of_cnd_water_of_dea_inl_adegc;others;69035;0
temp_of_furnace_a_outl_adegc;temp_of_furnace_a_outl_adegc;others;690591;0
temp_of_furnace_b_outl_adegc;temp_of_furnace_b_outl_adegc;others;723267;0
temp_of_gas_in_aph_outl_adegc;temp_of_gas_in_aph_outl_adegc;others;118027;0
temp_of_gas_in_ltr_side_a_inl_adegc;temp_of_gas_in_ltr_side_a_inl_adegc;others;62498;0
temp_of_gas_in_ltr_side_a_outl_adegc;temp_of_gas_in_ltr_side_a_outl_adegc;others;447526;1
temp_of_gas_in_ltr_side_b_inl_adegc;temp_of_gas_in_ltr_side_b_inl_adegc;others;661585;0
temp_of_gas_in_ltr_side_b_outl_adegc;temp_of_gas_in_ltr_side_b_outl_adegc;others;459933;0
temp_of_hpfa_fan_a_outl_adegc;temp_of_hpfa_fan_a_outl_adegc;others;95351;1
temp_of_hpfa_fan_b_outl_adegc;temp_of_hpfa_fan_b_outl_adegc;others;95351;1
temp_of_hpfa_fan_c_outl_adegc;temp_of_hpfa_fan_c_outl_adegc;others;23507;0
temperature_of_cyclone_a_inlet_adegc;temperature_of_cyclone_a_inlet_adegc;others;745441;2
temperature_of_cyclone_b_inlet_adegc;temperature_of_cyclone_b_inlet_adegc;others;729978;1
temperature_of_cyclone_c_inlet_adegc;temperature_of_cyclone_c_inlet_adegc;others;76965;10
