col,group,nan_rate,spearman_tau,spearman_vtotal,spearman_vprimary,trend_tau,trend_vtotal,trend_vprimary,score
pressure_of_furnace_b_lower_kpa,1,0.0,0.5990117526011138,0.27180110563292337,0.8905774872503907,0.5317303299521144,0.1384722073434169,0.9743432224004885,0.6715508370563549
pressure_of_furnace_a_lower_kpa,1,0.0,0.2719657335431036,0.14531408023497736,0.6626205010935766,0.3709885254011005,0.16131195854750938,0.6367484931332046,0.4718532599185734
pressure_1_of_furnace_a_bed_kpa,1,0.0,0.09020342348398884,0.1538230122687729,0.5182149223565544,0.17895946035444954,0.15813065934936238,0.5714516805483704,0.37358717832215416
pressure_3_of_furnace_bed_kpa,1,0.0,-0.01985616818850898,-0.06407297061916625,-0.08160781436331745,-0.004342032645257891,0.008858962431915987,-0.1406816051439801,0.10118119499092214
press_2_3_of_furnace_b_bed_kpa,1,8.505571149102662e-05,-0.34943906708981887,-0.1809020450217523,-0.6067669986395714,-0.45543753843169454,-0.10452444173146563,-0.818746840234829,0.1
pressure_1_of_furnace_b_bed_kpa,1,0.0,-0.36719876282269537,-0.21590966941916084,-0.5798581784724128,-0.4542089292465207,-0.1669156378392286,-0.789609580711867,0.1
differential_prs_of_furnace_a_kpa,2,0.0,0.5130945202525048,0.24912576816980572,0.8911468635799746,0.5296975979912564,0.14336802618537625,0.9753041569643599,0.6004560678859228
differential_prs_of_furnace_b_kpa,2,0.0,-0.07098402047205492,0.025803898844987884,0.157032096493928,-0.04799759274850146,0.04395950484830502,0.011672774486643814,0.09398483631244302
id_fan_a_outlet_pressure_kpa,3,8.505571149102662e-05,0.6226035301261582,0.4646330262562453,0.9192802732813373,0.6167831232557452,0.17864883593110337,0.9918559999975608,0.6396084271573361
id_fan_b_outlet_pressure_kpa,3,8.505571149102662e-05,0.6102063022912776,0.4803382845902707,0.9328770363676431,0.5930365257425521,0.16238334992426426,0.9905878730180997,0.637485357807827
deaerator_pressure_mpa,3,8.505571149102662e-05,0.6223213376265689,0.46315151726170856,0.9276455366752473,0.5254050975212007,0.13950286072491358,0.9740064603477997,0.6211456007918934
main_steam_pressure_mpa,3,0.0,0.6286122932065613,0.25872879172054175,0.9105813365082611,0.6028114718666784,0.16805037916489993,0.9910043914988084,0.5944999832911244
deaerator_upstream_pressure_mpa,3,0.0,0.33669638919334044,0.37050461664718953,0.7517764594974139,0.5031679512971231,0.13120289978501928,0.9668063913896477,0.5052857920638274
furnace_pres_pa,3,0.000680445691928213,0.4499977904226374,0.19598596397070495,0.7854929934858672,0.49128205701857103,0.15077053748803584,0.920281561372726,0.494606570359753
pressure_1_of_furnace_a_upper_pa,3,0.0,0.4194683954828037,0.22229714554111749,0.7399682255164143,0.5059583496244376,0.17072879668589536,0.9484149333043634,0.4930270305900266
hot_reheat_steam_pressure_mpa,3,8.505571149102662e-05,0.2252307863984607,0.3326937711353768,0.6453435027309428,0.5018754897936774,0.13031536777283056,0.9664491002818036,0.45380560643273093
pressure_of_sa_fan_a_outlet_kpa,3,8.505571149102662e-05,0.17100267848015618,0.2672777627572993,0.21387551121415113,-0.18286774913223017,0.07330953864039058,0.2633288400410896,0.175316307647852
pressure_of_sa_fan_b_outlet_kpa,3,0.0,0.04328274106478022,0.2459466704306686,-0.4582604323684707,-0.07188350403197308,0.127923401690724,-0.6405124223807306,0.07490233585785296
pressure_1_of_furnace_b_upper_pa,3,0.0,0.008436513998084712,0.02015776224371171,0.0009776599407037853,0.02575493341737332,0.1788396142127592,-0.09778521216665813,0.033193660253851044
pressure_of_furnace_a_medium_pa,3,8.505571149102662e-05,-0.0714985414218883,0.02658178053047971,-0.07409770374153486,-0.08946010842717929,0.08579333140431573,-0.27066601275249635,0.016755466960004708
pressure_of_furnace_b_medium_pa,3,0.0,-0.4070813010184031,-0.13316469309133494,-0.690600441199321,-0.5070985698818682,-0.1155258069618689,-0.9545359414680339,0.0
